code,name,sector,market
1852,淺沼組,建設業,プライム（内国株式）
1853,森組,建設業,スタンダード（内国株式）
1860,戸田建設,建設業,プライム（内国株式）
1861,熊谷組,建設業,プライム（内国株式）
1866,北野建設,建設業,スタンダード（内国株式）
1867,植木組,建設業,スタンダード（内国株式）
186A,アストロスケールホールディングス,サービス業,グロース（内国株式）
1870,矢作建設工業,建設業,プライム（内国株式）
1871,ピーエス・コンストラクション,建設業,プライム（内国株式）
1873,日本ハウスホールディングス,建設業,プライム（内国株式）
1878,大東建託,不動産業,プライム（内国株式）
1879,新日本建設,建設業,プライム（内国株式）
1882,東亜道路工業,建設業,プライム（内国株式）
1885,東亜建設工業,建設業,プライム（内国株式）
1887,日本国土開発,建設業,プライム（内国株式）
1888,若築建設,建設業,プライム（内国株式）
1893,五洋建設,建設業,プライム（内国株式）
1897,金下建設,建設業,スタンダード（内国株式）
1898,世紀東急工業,建設業,プライム（内国株式）
1899,福田組,建設業,プライム（内国株式）
189A,Ｄ＆Ｍカンパニー,サービス業,グロース（内国株式）
1904,大成温調,建設業,スタンダード（内国株式）
1905,テノックス,建設業,スタンダード（内国株式）
1909,日本ドライケミカル,機械,スタンダード（内国株式）
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品,グロース（内国株式）
1911,住友林業,建設業,プライム（内国株式）
1914,日本基礎技術,建設業,スタンダード（内国株式）
1921,巴コーポレーション,建設業,スタンダード（内国株式）
1925,大和ハウス工業,建設業,プライム（内国株式）
1926,ライト工業,建設業,プライム（内国株式）
1928,積水ハウス,建設業,プライム（内国株式）
1929,日特建設,建設業,プライム（内国株式）
192A,インテグループ,サービス業,グロース（内国株式）
1930,北陸電気工事,建設業,プライム（内国株式）
1934,ユアテック,建設業,プライム（内国株式）
1938,日本リーテック,建設業,プライム（内国株式）
1939,四電工,建設業,プライム（内国株式）
1941,中電工,建設業,プライム（内国株式）
1942,関電工,建設業,プライム（内国株式）
