特徴量,向き,説明,後2週%,後1月%,後2月%,後半年%,後1年%,勝ち年,年数,週数
出来高比,小さい順,出来高の増減,-0.25824434,-0.47521693,-0.5942328,-2.259089,-3.282259,3,8,410
26週騰落%,小さい順,週足 過去半年の傾向,0.14953804,-0.0033265352,-0.5993347,-1.1396751,3.6072311,3,8,389
20日ボラ%,小さい順,値動きの荒さ,-0.3223428,-0.4397441,-0.63464725,-2.0728908,-4.7596445,4,8,411
20日ボラ%,大きい順,値動きの荒さ,0.008340955,-0.13530588,-0.7873359,-1.8681841,-6.0610476,3,8,411
52週安値から%,小さい順,安値からの距離,-0.2645096,-0.48861057,-0.8693725,-1.6228938,-0.8092165,4,7,362
ATR14%,小さい順,値動きの荒さ,-0.36386976,-0.52602386,-0.88660586,-2.5915747,-6.139943,4,8,411
時価総額億,大きい順,規模,-0.23236969,-0.54796994,-0.9227991,-2.7431026,-5.7510004,2,8,411
25日線乖離%,小さい順,押し目の深さ,0.22182035,-0.13400817,-0.95016587,-3.892607,-5.547635,3,8,410
75日線乖離%,小さい順,中期の位置,0.12410402,-0.32453728,-1.0498827,-3.1391315,-3.999135,1,8,399
13週線乖離%,小さい順,週足の位置,0.03967935,-0.4471196,-1.0688574,-3.2477288,-4.3031654,0,8,402
3年騰落%,大きい順,月足 全体の傾向,0.020521581,-0.05352509,-1.1025102,-3.583961,-2.3025079,2,5,254
52週高値まで%,大きい順,高値からの距離,-0.053260803,-0.36982185,-1.230729,-3.138853,-7.7077475,3,7,362
26週騰落%,大きい順,週足 過去半年の傾向,-0.025160968,-0.14951015,-1.2636327,-2.4927588,-6.753043,2,8,389
13週線の向き,小さい順,週足の傾き,-0.014826477,-0.34230876,-1.3068379,-2.6291676,-3.580905,1,8,397
12月線乖離%,大きい順,月足の位置,0.1209504,-0.2025615,-1.3955739,-6.8284054,-8.846021,2,7,362
売買代金20日,大きい順,流動性,-0.46372515,-0.9363195,-1.4812374,-4.4709873,-8.773989,1,8,411
12月線の向き,大きい順,月足の傾き,-0.57034785,-0.93643945,-2.2775478,-6.4507318,-8.832565,2,7,349
52週騰落%,大きい順,月足 過去1年の傾向,-0.51013196,-1.0122658,-2.3490398,-8.024373,-11.262758,2,7,362
52週安値から%,大きい順,安値からの距離,-0.383685,-1.0366501,-2.6088758,-8.917166,-14.197827,2,7,362
