特徴量,向き,説明,後2週%,後1月%,後2月%,後半年%,後1年%,勝ち年,年数,週数
13週線乖離%,大きい順,週足の位置,0.65392447,1.0012422,1.2783298,2.4633417,2.1517935,4,8,402
25日線乖離%,大きい順,押し目の深さ,0.9765547,1.3403261,1.2376952,2.605071,2.131281,4,8,410
時価総額億,小さい順,規模,0.37715006,0.73165333,1.1534009,3.5651426,5.917038,6,8,411
75日線乖離%,大きい順,中期の位置,0.5597352,0.8775749,1.1322677,2.0601897,1.3534555,4,8,399
3年騰落%,小さい順,月足 全体の傾向,0.2039969,0.49545604,0.9256649,3.2359672,3.5585442,3,5,254
5日線乖離%,大きい順,短期の位置,0.54485214,0.84686863,0.85598564,1.0655413,1.1435986,3,8,411
RSI14,大きい順,過熱・過冷,0.40839696,0.59890234,0.83016086,2.4236689,3.9804535,6,8,411
26週線乖離%,大きい順,週足の位置,0.49272966,0.74289656,0.77030087,0.22363186,-1.730999,4,8,388
反転_5日線上向き転換,大きい順,反転の形,0.15478665,0.25926268,0.5112035,1.169632,3.3668518,6,8,411
52週騰落%,小さい順,月足 過去1年の傾向,0.19411361,0.42110324,0.4960518,0.5088773,0.7888861,3,7,362
出来高比,大きい順,出来高の増減,0.14717221,0.6640879,0.37987447,1.4714861,2.0457096,3,8,410
12月線の向き,小さい順,月足の傾き,0.11727536,0.3191198,0.29334903,0.7508087,-1.2301626,2,7,349
52週高値まで%,小さい順,高値からの距離,0.34665638,0.179955,0.19035411,0.23337126,0.8932848,4,7,362
連続陽線,大きい順,陽線の連続,-0.2432709,-0.06089306,0.13759089,0.90131855,3.8957882,4,8,411
反転_安値切上げ,大きい順,反転の形,-0.039345622,-0.033283234,0.12098241,0.049917698,-0.16288948,7,8,411
反転_陰転陽,大きい順,反転の形,0.005846381,0.08658397,0.109511614,0.9014063,1.9147854,4,8,411
反転_25日線回復,大きい順,反転の形,-0.04946798,-0.048077106,0.10780978,0.48970747,2.986786,3,8,411
売買代金20日,小さい順,流動性,-0.04348892,-0.030426145,0.04168749,-0.13800144,-1.3315964,5,8,411
12月線乖離%,小さい順,月足の位置,0.114047885,0.18053126,-0.023576021,0.9072938,5.520817,3,7,362
13週線の向き,大きい順,週足の傾き,0.30281228,0.16788721,-0.05210924,-1.3712335,-3.0402613,4,8,397
MA順位,小さい順,移動平均の並び,-0.16352665,-0.32474273,-0.098834515,-0.33820152,1.5764427,4,8,411
反転_安値切上げ,小さい順,反転の形,-0.1184451,-0.05077517,-0.10629654,-0.03863716,0.6244049,4,8,411
MA順位,大きい順,移動平均の並び,0.0144302845,-0.006914854,-0.14841151,-1.1777787,-0.7977791,3,8,411
連続陽線,小さい順,陽線の連続,-0.11275685,-0.10005784,-0.16232347,-0.36472988,0.14702988,3,8,411
反転_陰転陽,小さい順,反転の形,-0.09335476,-0.13273704,-0.21411753,-0.44409466,-0.49025154,2,8,411
ATR14%,大きい順,値動きの荒さ,-0.053856254,0.117577195,-0.2890098,-5.355729,-10.545641,3,8,411
反転_25日線回復,小さい順,反転の形,-0.12106925,-0.21184826,-0.32114124,-0.99043083,-1.2473011,1,8,411
反転_5日線上向き転換,小さい順,反転の形,-0.11423212,-0.1689707,-0.4015727,-0.86277246,-0.91551304,1,8,411
RSI14,小さい順,過熱・過冷,0.09100944,-0.19964886,-0.49218798,-1.3849106,-1.1524038,1,8,411
5日線乖離%,小さい順,短期の位置,-0.026394248,-0.23307872,-0.518893,-2.1667948,-2.5854425,3,8,411
26週線乖離%,小さい順,週足の位置,0.23107088,0.011765122,-0.5357499,-1.498857,0.7539921,3,8,388
